date,open,high,low,close,volume
1962-01-02,0.0545,0.056,0.0545,0.0545,1741
1962-01-03,0.0537,0.0537,0.0525,0.0533,3399
1962-01-04,0.0534,0.0541,0.0534,0.0537,1824
1962-01-05,0.0537,0.0544,0.0524,0.0525,3068
1962-01-08,0.0521,0.0521,0.051,0.052,4397
1962-01-09,0.052,0.0532,0.0516,0.0529,2073
1962-01-10,0.0529,0.0539,0.0524,0.0532,3484
1962-01-11,0.0532,0.0537,0.0529,0.0537,1326
1962-01-12,0.0537,0.0537,0.0528,0.0533,1907
1962-01-15,0.0532,0.0532,0.0527,0.0528,1327
1962-01-16,0.0526,0.0526,0.0517,0.0518,2404
1962-01-17,0.0518,0.0518,0.0502,0.0502,3399
1962-01-18,0.0502,0.0505,0.049,0.0492,5722
1962-01-19,0.0496,0.0507,0.0496,0.0507,3148
1962-01-22,0.0507,0.0512,0.0502,0.0511,2320
1962-01-23,0.0511,0.0511,0.0501,0.0501,1660
1962-01-24,0.05,0.0502,0.0486,0.0495,5636
1962-01-25,0.0495,0.0503,0.0491,0.0491,3398
1962-01-26,0.0491,0.0491,0.0483,0.0486,3400
1962-01-29,0.0486,0.0487,0.0485,0.0486,663
1962-01-30,0.0486,0.049,0.0484,0.0484,3401
1962-01-31,0.0486,0.0503,0.0486,0.0503,3812
1962-02-01,0.0507,0.0515,0.0507,0.0507,3065
1962-02-02,0.0508,0.0513,0.05,0.0513,2488
1962-02-05,0.0513,0.0513,0.0509,0.0513,829
1962-02-06,0.0513,0.0513,0.0506,0.0506,1493
1962-02-07,0.0506,0.0509,0.0506,0.0509,415
1962-02-08,0.0509,0.0513,0.0503,0.051,1658
1962-02-09,0.051,0.0513,0.0508,0.0513,1576
1962-02-12,0.0513,0.0514,0.0509,0.0509,664
1962-02-13,0.0509,0.0512,0.0509,0.0509,1410
1962-02-14,0.0508,0.0508,0.0499,0.0499,1409
1962-02-15,0.05,0.0504,0.0497,0.0497,1411
1962-02-16,0.0497,0.0506,0.0497,0.0497,2572
1962-02-19,0.0501,0.0505,0.0501,0.0505,747
1962-02-20,0.0505,0.0506,0.0501,0.0502,995
1962-02-21,0.0502,0.0506,0.0499,0.0499,1491
1962-02-23,0.0499,0.0506,0.0494,0.0494,2239
1962-02-26,0.0494,0.0506,0.0491,0.0502,1658
1962-02-27,0.0502,0.0506,0.0502,0.0505,995
1962-02-28,0.0503,0.0503,0.0494,0.0495,1409
1962-03-01,0.0495,0.0495,0.0485,0.0492,42160
1962-03-02,0.0494,0.0498,0.0494,0.0498,1742
1962-03-05,0.0498,0.0498,0.0491,0.0491,1409
1962-03-06,0.0497,0.0502,0.0497,0.0502,1907
1962-03-07,0.0502,0.0502,0.0495,0.0495,1492
1962-03-08,0.0496,0.0501,0.0494,0.0497,1908
1962-03-09,0.0496,0.0498,0.0487,0.0491,2403
1962-03-12,0.0497,0.0502,0.0497,0.0502,2156
1962-03-13,0.0503,0.0507,0.0503,0.0507,2903
1962-03-14,0.0506,0.0508,0.0504,0.0507,3645
1962-03-15,0.0508,0.0509,0.0505,0.0505,1908
1962-03-16,0.0505,0.0507,0.0505,0.0505,1659
1962-03-19,0.0504,0.051,0.0504,0.0507,1988
1962-03-20,0.0508,0.0513,0.0508,0.0513,2820
1962-03-21,0.0516,0.0523,0.0516,0.052,4729
1962-03-22,0.0521,0.0528,0.0521,0.0525,2902
1962-03-23,0.0529,0.0538,0.0529,0.0534,3231
1962-03-26,0.0535,0.0539,0.0527,0.0528,3069
1962-03-27,0.0525,0.0525,0.0521,0.0524,1825
1962-03-28,0.0524,0.0524,0.052,0.052,996
1962-03-29,0.052,0.0526,0.0518,0.0521,2239
1962-03-30,0.0521,0.0521,0.0513,0.0513,2986
1962-04-02,0.0513,0.0523,0.051,0.052,2489
1962-04-03,0.0519,0.0522,0.0499,0.0503,2652
1962-04-04,0.0507,0.0516,0.0507,0.0509,3148
1962-04-05,0.0509,0.0515,0.0507,0.051,2238
1962-04-06,0.0513,0.0521,0.0513,0.0518,1575
1962-04-09,0.052,0.0524,0.052,0.052,1162
1962-04-10,0.052,0.0524,0.052,0.052,1327
1962-04-11,0.0519,0.0522,0.0505,0.0507,1905
1962-04-12,0.0505,0.0505,0.0497,0.0498,2322
1962-04-13,0.0498,0.0513,0.049,0.0513,3898
1962-04-16,0.0513,0.0521,0.0511,0.0514,4808
1962-04-17,0.0514,0.052,0.051,0.0517,2489
1962-04-18,0.0517,0.052,0.0516,0.052,1493
1962-04-19,0.0519,0.052,0.0516,0.052,1740
1962-04-23,0.052,0.0526,0.0519,0.0521,1493
1962-04-24,0.0521,0.0524,0.0517,0.0524,1908
1962-04-25,0.0523,0.0523,0.0517,0.0517,912
1962-04-26,0.0517,0.052,0.051,0.0514,1741
1962-04-27,0.0514,0.052,0.0512,0.052,1908
1962-04-30,0.0514,0.0514,0.0496,0.0499,2983
1962-05-01,0.0499,0.0507,0.0497,0.0506,3400
1962-05-02,0.0508,0.0513,0.0508,0.0512,2818
1962-05-03,0.0512,0.0518,0.051,0.0518,1823
1962-05-04,0.0518,0.052,0.0514,0.0514,1161
1962-05-07,0.0514,0.0519,0.0509,0.0509,1493
1962-05-08,0.0509,0.0516,0.0503,0.0503,2572
1962-05-09,0.0502,0.0502,0.0492,0.0492,2733
1962-05-10,0.0493,0.0494,0.0486,0.0489,4149
1962-05-11,0.0488,0.0492,0.0468,0.0472,5136
1962-05-14,0.0472,0.0475,0.0452,0.0464,6877
1962-05-15,0.0467,0.0492,0.0467,0.0487,5471
1962-05-16,0.0488,0.0492,0.0486,0.0489,3485
1962-05-17,0.0488,0.0492,0.0483,0.0483,5387
1962-05-18,0.0483,0.0484,0.0476,0.0484,1740
1962-05-21,0.0485,0.0486,0.0482,0.0484,2074
1962-05-22,0.0484,0.0484,0.0469,0.047,3070
1962-05-23,0.0469,0.0469,0.0461,0.0464,5054
1962-05-24,0.0462,0.0462,0.0455,0.0455,5807
1962-05-25,0.0454,0.0459,0.0445,0.0449,6130
1962-05-28,0.0449,0.0449,0.0409,0.0426,9457
1962-05-29,0.0426,0.0436,0.0378,0.0436,16005
1962-05-31,0.0444,0.0457,0.0444,0.0454,10292
1962-06-01,0.0454,0.0458,0.0443,0.0448,5805
1962-06-04,0.0445,0.0445,0.0413,0.0413,7464
1962-06-05,0.0414,0.0445,0.0414,0.0429,5803
1962-06-06,0.043,0.0438,0.043,0.0434,2899
1962-06-07,0.0435,0.0437,0.0433,0.0436,1493
1962-06-08,0.0436,0.0445,0.0436,0.0445,3066
1962-06-11,0.0446,0.0448,0.0442,0.0443,4980
1962-06-12,0.0442,0.0443,0.0422,0.0424,4803
1962-06-13,0.0425,0.0429,0.0417,0.0419,5888
1962-06-14,0.0419,0.0421,0.0413,0.0413,5225
1962-06-15,0.0413,0.0431,0.0411,0.0431,8383
1962-06-18,0.043,0.0431,0.0423,0.0428,4721
1962-06-19,0.0426,0.0426,0.0422,0.0422,1491
1962-06-20,0.0422,0.0426,0.0416,0.0416,5304
1962-06-21,0.0416,0.0417,0.041,0.0411,3567
1962-06-22,0.0411,0.0411,0.0405,0.0405,3318
1962-06-25,0.0405,0.0406,0.0389,0.0401,12358
1962-06-26,0.04,0.0406,0.0396,0.0399,4804
1962-06-27,0.0399,0.0401,0.0396,0.0398,5387
1962-06-28,0.0404,0.0417,0.0404,0.0417,6301
1962-06-29,0.0417,0.042,0.0412,0.0413,4644
1962-07-02,0.0413,0.0426,0.0412,0.0424,3153
1962-07-03,0.0423,0.0426,0.0419,0.0426,3479
1962-07-05,0.0426,0.0429,0.0421,0.0428,2650
1962-07-06,0.0428,0.0428,0.0421,0.0422,1822
1962-07-09,0.0426,0.0431,0.0426,0.0431,3652
1962-07-10,0.0432,0.0437,0.0432,0.0432,4977
1962-07-11,0.0431,0.0434,0.0424,0.0434,3976
1962-07-12,0.0435,0.0443,0.0429,0.0439,3734
1962-07-13,0.0438,0.0438,0.0432,0.0437,1992
1962-07-16,0.0436,0.044,0.0435,0.0437,1741
1962-07-17,0.0437,0.0439,0.0434,0.0434,745
1962-07-18,0.0432,0.0432,0.0428,0.0431,3481
1962-07-19,0.0431,0.0436,0.0429,0.0435,1989
1962-07-20,0.0435,0.044,0.0435,0.0438,2239
1962-07-23,0.0439,0.0441,0.0439,0.044,1576
1962-07-24,0.0439,0.0441,0.0434,0.0434,1491
1962-07-25,0.0435,0.0443,0.0435,0.0443,1411
1962-07-26,0.0445,0.0448,0.0445,0.0445,1077
1962-07-27,0.0445,0.0449,0.0444,0.0449,995
1962-07-30,0.0449,0.0454,0.0446,0.0454,2158
1962-07-31,0.0456,0.0463,0.0456,0.0463,4064
1962-08-01,0.0463,0.0463,0.0451,0.0455,2820
1962-08-02,0.0454,0.0464,0.045,0.0464,3480
1962-08-03,0.0464,0.0467,0.0445,0.0467,1161
1962-08-06,0.0467,0.0468,0.0456,0.0459,1990
1962-08-07,0.0459,0.0459,0.0454,0.0454,1245
1962-08-08,0.0452,0.0452,0.0449,0.0452,1409
1962-08-09,0.0452,0.0452,0.0447,0.0447,1410
1962-08-10,0.0446,0.045,0.0446,0.0449,2071
1962-08-13,0.045,0.045,0.0447,0.0447,913
1962-08-14,0.0447,0.0457,0.0447,0.0457,2154
1962-08-15,0.0461,0.0467,0.0461,0.0464,2817
1962-08-16,0.0465,0.0466,0.0457,0.0462,3651
1962-08-17,0.0462,0.0463,0.0458,0.0462,2158
1962-08-20,0.0462,0.0467,0.0462,0.0467,2322
1962-08-21,0.0467,0.0468,0.0466,0.0467,3399
1962-08-22,0.0467,0.0467,0.0462,0.0466,3154
1962-08-23,0.0467,0.0468,0.0467,0.0468,664
1962-08-24,0.0468,0.0471,0.0467,0.0468,1162
1962-08-27,0.0467,0.0469,0.0461,0.0464,1077
1962-08-28,0.0462,0.0462,0.0457,0.0457,1491
1962-08-29,0.0458,0.0459,0.045,0.0454,1909
1962-08-30,0.0458,0.0462,0.0458,0.0459,912
1962-08-31,0.0459,0.046,0.0459,0.046,249
1962-09-04,0.0459,0.0464,0.0456,0.0456,1409
1962-09-05,0.0456,0.0456,0.045,0.0456,1740
1962-09-06,0.0454,0.0454,0.045,0.0453,2074
1962-09-07,0.0453,0.0458,0.0451,0.0455,1908
1962-09-10,0.0456,0.0458,0.0456,0.0458,663
1962-09-11,0.0457,0.0457,0.0453,0.0456,1160
1962-09-12,0.0456,0.0461,0.0454,0.0457,2319
1962-09-13,0.0455,0.0455,0.045,0.0454,1079
1962-09-14,0.0454,0.0454,0.0448,0.0454,996
1962-09-17,0.0454,0.0457,0.0451,0.0454,996
1962-09-18,0.0454,0.0458,0.0447,0.0447,1991
1962-09-19,0.0446,0.0449,0.0441,0.0445,1657
1962-09-20,0.0445,0.045,0.0439,0.044,1908
1962-09-21,0.044,0.044,0.0431,0.0431,1992
1962-09-24,0.043,0.043,0.0426,0.043,2737
1962-09-25,0.043,0.0431,0.0426,0.0426,2402
1962-09-26,0.0426,0.0429,0.0421,0.0421,2405
1962-09-27,0.0421,0.0424,0.0421,0.0421,1078
1962-09-28,0.0421,0.0425,0.042,0.0424,1494
1962-10-01,0.0424,0.0437,0.0418,0.0419,3483
1962-10-02,0.0418,0.0427,0.0418,0.0422,1325
1962-10-03,0.0426,0.0438,0.0426,0.0433,1826
1962-10-04,0.0432,0.0433,0.0432,0.0433,1160
1962-10-05,0.0434,0.0439,0.0428,0.0439,1992
1962-10-08,0.0439,0.0439,0.0432,0.0438,829
1962-10-09,0.0438,0.0443,0.0436,0.0443,1826
1962-10-10,0.0443,0.045,0.044,0.044,1742
1962-10-11,0.044,0.0441,0.0436,0.044,1410
1962-10-12,0.0437,0.0437,0.0437,0.0437,995
1962-10-15,0.0437,0.0441,0.0437,0.0437,3067
1962-10-16,0.0437,0.0437,0.0436,0.0437,2072
1962-10-17,0.0438,0.0438,0.0434,0.0437,830
1962-10-18,0.0437,0.0439,0.0432,0.0432,2157
1962-10-19,0.0432,0.0434,0.0416,0.0418,8547
1962-10-22,0.0417,0.0417,0.0408,0.0415,5224
1962-10-23,0.0414,0.0414,0.0402,0.0402,3481
1962-10-24,0.0402,0.0413,0.0401,0.0413,4395
1962-10-25,0.0413,0.0418,0.0413,0.0413,1907
1962-10-26,0.0413,0.0413,0.0407,0.041,1162
1962-10-29,0.0416,0.0421,0.0416,0.042,2904
1962-10-30,0.042,0.0423,0.042,0.0423,1078
1962-10-31,0.0425,0.0432,0.0425,0.0429,6052
1962-11-01,0.0429,0.0433,0.0422,0.0433,4226
1962-11-02,0.0433,0.0448,0.0433,0.0441,9860
1962-11-05,0.0441,0.0441,0.0436,0.0441,1328
1962-11-07,0.044,0.044,0.0436,0.0439,2739
1962-11-08,0.0439,0.0439,0.0436,0.0436,1576
1962-11-09,0.0436,0.0439,0.0434,0.0439,1162
1962-11-12,0.0439,0.044,0.0436,0.0436,1327
1962-11-13,0.0437,0.0441,0.0437,0.0437,1989
1962-11-14,0.0437,0.0438,0.0433,0.0437,2901
1962-11-15,0.0439,0.0446,0.0439,0.0439,1660
1962-11-16,0.0439,0.0441,0.0436,0.0436,3234
1962-11-19,0.0436,0.0436,0.0426,0.0426,4390
1962-11-20,0.0427,0.0428,0.0421,0.0428,4811
1962-11-21,0.0428,0.0432,0.0428,0.0431,7636
