date,open,high,low,close,volume
1972-06-01,0.3772,0.3816,0.3772,0.3816,1405
1972-06-02,0.3816,0.3855,0.3805,0.3805,619
1972-06-05,0.3816,0.3822,0.3689,0.3761,2079
1972-06-06,0.3727,0.3727,0.3716,0.3727,621
1972-06-07,0.3727,0.3733,0.3694,0.3705,788
1972-06-08,0.3705,0.3716,0.3683,0.3705,1911
1972-06-09,0.3706,0.3717,0.37,0.3711,884
1972-06-12,0.3711,0.3717,0.3695,0.37,812
1972-06-13,0.3705,0.3744,0.3705,0.3744,1840
1972-06-14,0.3756,0.3794,0.3756,0.3783,956
1972-06-15,0.3783,0.3794,0.3767,0.3772,788
1972-06-16,0.3771,0.3794,0.3749,0.3766,812
1972-06-19,0.3766,0.3782,0.3727,0.3755,1433
1972-06-20,0.3755,0.376,0.3738,0.3755,573
1972-06-21,0.3756,0.3783,0.3744,0.3761,1577
1972-06-22,0.3761,0.3788,0.375,0.3783,1434
1972-06-23,0.3783,0.381,0.3783,0.3805,1218
1972-06-26,0.3805,0.3805,0.3772,0.3772,860
1972-06-27,0.3771,0.3782,0.3749,0.3749,2962
1972-06-28,0.3749,0.3755,0.3739,0.3744,334
1972-06-29,0.3744,0.3766,0.3694,0.3744,1242
1972-06-30,0.3744,0.3761,0.37,0.3711,597
1972-07-03,0.371,0.3716,0.3683,0.3705,956
1972-07-05,0.3706,0.3711,0.3661,0.3711,1649
1972-07-06,0.371,0.3788,0.371,0.3749,3512
1972-07-07,0.3744,0.3744,0.3694,0.3694,1147
1972-07-10,0.3694,0.3727,0.3661,0.3694,1648
1972-07-11,0.3694,0.3733,0.3678,0.3722,4778
1972-07-12,0.3722,0.3743,0.3722,0.3727,1624
1972-07-13,0.3727,0.3749,0.3705,0.3749,1338
1972-07-14,0.3755,0.3893,0.3755,0.3882,4396
1972-07-17,0.3882,0.3915,0.3844,0.386,2485
1972-07-18,0.386,0.386,0.3805,0.3816,1338
1972-07-19,0.3816,0.3827,0.3772,0.3772,1577
1972-07-20,0.376,0.376,0.3738,0.3738,1075
1972-07-21,0.3738,0.3766,0.3727,0.3749,1218
1972-07-24,0.3749,0.3771,0.3749,0.3755,1816
1972-07-25,0.3761,0.3788,0.3761,0.3766,2078
1972-07-26,0.3766,0.3794,0.3766,0.3794,645
1972-07-27,0.3793,0.392,0.3782,0.3915,3273
1972-07-28,0.3915,0.3926,0.3871,0.3871,1409
1972-07-31,0.3871,0.3893,0.3855,0.3866,741
1972-08-01,0.3865,0.3904,0.3854,0.3904,3464
1972-08-02,0.3904,0.3959,0.3893,0.3937,2317
1972-08-03,0.3937,0.3943,0.3882,0.3893,1816
1972-08-04,0.3893,0.3893,0.3827,0.3893,1911
1972-08-07,0.3888,0.3888,0.3849,0.3888,669
1972-08-08,0.3888,0.3888,0.3855,0.3866,1457
1972-08-09,0.3866,0.3876,0.381,0.3871,2962
1972-08-10,0.3871,0.3871,0.3854,0.3871,1648
1972-08-11,0.3872,0.3893,0.386,0.3877,2126
1972-08-14,0.3888,0.3954,0.3888,0.3899,3345
1972-08-15,0.3899,0.3927,0.3883,0.3888,1290
1972-08-16,0.3888,0.3905,0.3877,0.3877,860
1972-08-17,0.3877,0.3898,0.3877,0.3882,1242
1972-08-18,0.3883,0.3893,0.3872,0.3888,4086
1972-08-21,0.3887,0.3904,0.3882,0.3904,1672
1972-08-22,0.3904,0.3926,0.3893,0.3904,1099
1972-08-23,0.3904,0.3932,0.3893,0.3893,764
1972-08-24,0.3893,0.3904,0.3849,0.386,3058
1972-08-25,0.386,0.3871,0.3827,0.386,2174
1972-08-28,0.386,0.3872,0.3844,0.3844,932
1972-08-29,0.3855,0.3893,0.3855,0.3877,1266
1972-08-30,0.3877,0.3888,0.3849,0.3849,1457
1972-08-31,0.3838,0.3838,0.3816,0.3816,1195
1972-09-01,0.3827,0.3855,0.3811,0.3855,2252
1972-09-05,0.3838,0.3838,0.3816,0.3816,503
1972-09-06,0.3816,0.3838,0.3799,0.381,3546
1972-09-07,0.381,0.3821,0.3788,0.3788,695
1972-09-08,0.3788,0.3794,0.376,0.3766,791
1972-09-11,0.3766,0.3766,0.3738,0.3766,958
1972-09-12,0.3766,0.3772,0.3749,0.3755,1893
1972-09-13,0.3749,0.3749,0.3743,0.3749,982
1972-09-14,0.3749,0.3772,0.3744,0.3755,2516
1972-09-15,0.3755,0.3761,0.3672,0.3683,3331
1972-09-18,0.3682,0.3682,0.361,0.3649,2827
1972-09-19,0.365,0.365,0.36,0.36,1222
1972-09-20,0.3595,0.3595,0.3561,0.3589,1438
1972-09-21,0.3588,0.3594,0.3561,0.3594,1677
1972-09-22,0.3594,0.3605,0.3516,0.3533,1653
1972-09-25,0.3533,0.355,0.3461,0.3461,12196
1972-09-26,0.3461,0.3505,0.3439,0.3494,3163
1972-09-27,0.3516,0.366,0.3516,0.3649,3091
1972-09-28,0.3672,0.37,0.3672,0.3672,5344
1972-09-29,0.3671,0.3705,0.3671,0.3699,839
1972-10-02,0.3699,0.3705,0.3616,0.3638,3953
1972-10-03,0.3628,0.3628,0.36,0.3622,3019
1972-10-04,0.3638,0.366,0.3638,0.3649,4863
1972-10-05,0.3644,0.3644,0.3622,0.3633,2420
1972-10-06,0.3633,0.3683,0.3622,0.3661,4409
1972-10-09,0.366,0.3666,0.3644,0.3666,2037
1972-10-10,0.3667,0.3683,0.3644,0.3661,4361
1972-10-11,0.3661,0.3683,0.3638,0.3655,5175
1972-10-12,0.3649,0.3649,0.3605,0.3605,1078
1972-10-13,0.3594,0.3594,0.3544,0.3555,3642
1972-10-16,0.3555,0.3555,0.3527,0.3533,1462
1972-10-17,0.3533,0.355,0.3527,0.3544,3618
1972-10-18,0.3555,0.36,0.3555,0.3594,3522
1972-10-19,0.3594,0.3605,0.3577,0.3605,1989
1972-10-20,0.3605,0.3616,0.3588,0.3594,887
1972-10-23,0.3594,0.3682,0.3594,0.3638,2276
1972-10-24,0.3638,0.3694,0.3589,0.3694,6134
1972-10-25,0.3694,0.3771,0.3682,0.3738,2875
1972-10-26,0.3749,0.3799,0.3749,0.376,6589
1972-10-27,0.376,0.3766,0.3704,0.3721,3258
1972-10-30,0.3721,0.3721,0.3671,0.3688,1294
1972-10-31,0.3688,0.3705,0.3683,0.3705,4169
1972-11-01,0.3705,0.3716,0.3683,0.3705,4289
1972-11-02,0.3705,0.3744,0.37,0.3733,2181
1972-11-03,0.3733,0.3805,0.3722,0.3794,3235
1972-11-06,0.3794,0.3816,0.3777,0.3783,2492
1972-11-08,0.3782,0.3816,0.3777,0.3799,1653
1972-11-09,0.3799,0.3805,0.3772,0.3805,3714
1972-11-10,0.3805,0.3839,0.3794,0.3794,2876
1972-11-13,0.3794,0.3822,0.3783,0.3805,1198
1972-11-14,0.3805,0.3861,0.3794,0.3855,5200
1972-11-15,0.3855,0.3866,0.3844,0.3844,3475
1972-11-16,0.3844,0.3883,0.3833,0.3866,2181
1972-11-17,0.3938,0.4032,0.3938,0.3988,9105
1972-11-20,0.3988,0.3994,0.3971,0.3988,4241
1972-11-21,0.3988,0.3988,0.391,0.391,4624
1972-11-22,0.391,0.3943,0.3904,0.3921,1797
1972-11-24,0.3922,0.3938,0.391,0.3916,647
1972-11-27,0.3916,0.3927,0.3905,0.3927,1773
1972-11-28,0.3922,0.3922,0.3894,0.3905,1606
1972-11-29,0.39,0.39,0.3883,0.3894,3427
1972-11-30,0.3894,0.3894,0.3855,0.3866,1725
1972-12-01,0.3866,0.3883,0.3844,0.3866,3834
1972-12-04,0.3877,0.3899,0.3866,0.3888,1874
1972-12-05,0.3899,0.391,0.3899,0.391,2643
1972-12-06,0.391,0.3949,0.3905,0.3949,3460
1972-12-07,0.3949,0.3999,0.3927,0.3999,5406
1972-12-08,0.4,0.4,0.3972,0.3983,3196
1972-12-11,0.3982,0.3982,0.3927,0.396,6656
1972-12-12,0.396,0.396,0.3932,0.3938,2114
1972-12-13,0.3939,0.3939,0.3927,0.3933,889
1972-12-14,0.3933,0.3933,0.3905,0.3916,2667
1972-12-15,0.3915,0.3932,0.3915,0.3921,3388
1972-12-18,0.3916,0.3916,0.3894,0.3916,1033
1972-12-19,0.3893,0.3893,0.3838,0.386,3532
1972-12-20,0.386,0.3866,0.3821,0.3827,3484
1972-12-21,0.3827,0.3833,0.3766,0.3777,3004
1972-12-22,0.3776,0.3793,0.3765,0.3793,6079
1972-12-26,0.3794,0.3799,0.3771,0.3777,1874
1972-12-27,0.3783,0.3816,0.3783,0.3816,3605
1972-12-29,0.3827,0.3877,0.3827,0.3877,3821
1973-01-02,0.3882,0.391,0.3882,0.391,5767
1973-01-03,0.3904,0.3904,0.3882,0.3882,1658
1973-01-04,0.386,0.386,0.3793,0.3821,2547
1973-01-05,0.3821,0.3821,0.3782,0.3799,3004
1973-01-08,0.3799,0.3822,0.3783,0.3816,4566
1973-01-09,0.3799,0.3799,0.3771,0.3777,1250
1973-01-10,0.3771,0.3771,0.3743,0.3749,1754
1973-01-11,0.3749,0.3838,0.3743,0.3782,8577
1973-01-12,0.3804,0.3838,0.3804,0.3821,5118
1973-01-15,0.3822,0.3822,0.3783,0.3816,1394
1973-01-16,0.3816,0.3816,0.3771,0.3816,4782
1973-01-17,0.3815,0.3871,0.3793,0.3871,5694
1973-01-18,0.3871,0.3916,0.3849,0.391,1778
1973-01-19,0.391,0.3916,0.3855,0.3866,2595
1973-01-22,0.3866,0.3899,0.3838,0.3866,4181
1973-01-23,0.3871,0.3888,0.3871,0.3888,9707
1973-01-24,0.3888,0.3905,0.3827,0.3827,8867
1973-01-26,0.3827,0.3827,0.3771,0.3771,2187
1973-01-29,0.3771,0.3771,0.3671,0.3671,1970
1973-01-30,0.3671,0.3699,0.3632,0.3699,3244
1973-01-31,0.3699,0.3732,0.3693,0.371,1346
1973-02-01,0.371,0.3732,0.3682,0.3682,2427
1973-02-02,0.3683,0.3705,0.366,0.3705,1658
1973-02-05,0.3693,0.3693,0.3671,0.3671,937
1973-02-06,0.3671,0.3738,0.3666,0.3738,4133
1973-02-07,0.3738,0.3755,0.3693,0.3699,2283
1973-02-08,0.3699,0.3738,0.3682,0.3732,2042
1973-02-09,0.3732,0.3749,0.3721,0.3732,1394
1973-02-12,0.3738,0.3761,0.3738,0.3744,1538
1973-02-13,0.3744,0.3777,0.3721,0.3738,2908
1973-02-14,0.3738,0.3766,0.3705,0.3705,1346
1973-02-15,0.3705,0.3744,0.3705,0.3716,961
1973-02-16,0.3716,0.3749,0.371,0.3749,817
1973-02-20,0.3755,0.3788,0.3755,0.3755,3989
1973-02-21,0.3754,0.3765,0.3726,0.3732,1802
1973-02-22,0.3733,0.3733,0.3699,0.3727,1634
1973-02-23,0.3727,0.376,0.3721,0.3721,2931
1973-02-26,0.3721,0.3749,0.3693,0.3721,2499
1973-02-27,0.3721,0.3721,0.3693,0.3699,2115
1973-02-28,0.3699,0.3704,0.3643,0.3671,3004
1973-03-01,0.3672,0.3716,0.3672,0.3705,3773
1973-03-02,0.3705,0.3716,0.366,0.3705,2091
1973-03-05,0.3717,0.3739,0.3689,0.3739,2266
1973-03-06,0.3738,0.3783,0.3733,0.3783,2941
1973-03-07,0.3783,0.385,0.3772,0.3822,3182
1973-03-08,0.3828,0.3879,0.3828,0.3862,2773
