Date,PEP_Price,KO_Price
2025-09-29,139.895,65.855
2025-09-26,140.44,65.67
2025-09-25,139.92,65.98
2025-09-24,142.17,66.45
2025-09-23,141.9,66.71
2025-09-22,141.03,66.21
2025-09-19,141.76,66.43
2025-09-18,140.73,66.46
2025-09-17,141.23,67.04
2025-09-16,140.03,66.24
2025-09-15,140.64,66.21
2025-09-12,143.53,67.01
2025-09-11,144.23,67.62
2025-09-10,142.66,67.82
2025-09-09,143.1,67.86
2025-09-08,141.71,67.43
2025-09-05,146.39,67.96
2025-09-04,146.89,68.25
2025-09-03,148.64,68.99
2025-09-02,150.28,69.06
2025-08-29,148.65,68.99
2025-08-28,146.98,68.36
2025-08-27,147.64,68.83
2025-08-26,147,68.73
2025-08-25,148.2,68.93
2025-08-22,149.64,70.13
2025-08-21,148.98,70.66
2025-08-20,150.73,70.7
2025-08-19,152.16,70.13
2025-08-18,149.55,69.13
2025-08-15,150.4,69.92
2025-08-14,148.62,69.55
2025-08-13,149.35,70.46
2025-08-12,146.87,70.71
2025-08-11,144.87,70.75
2025-08-08,145.21,70.34
2025-08-07,143.92,70.43
2025-08-06,140.8,69.51
2025-08-05,139.45,69.05
2025-08-04,139.56,68.96
2025-08-01,139.28,68.86
2025-07-31,137.92,67.89
2025-07-30,142.86,68.75
2025-07-29,143.89,69.38
2025-07-28,141.57,68.09
2025-07-25,143.45,69.17
2025-07-24,144.51,69.1
2025-07-23,145.66,69.16
2025-07-22,146.04,69.66
2025-07-21,141.7,70.07
2025-07-18,143.24,69.85
2025-07-17,145.44,70.59
2025-07-16,135.35,69.27
2025-07-15,133.81,69.36
2025-07-14,135.57,69.47
2025-07-11,135.26,69.87
2025-07-10,136.08,69.77
2025-07-09,134.48,69.48
2025-07-08,135.04,70.24
2025-07-07,134.45,71.01
2025-07-03,135.38,71.35
2025-07-02,136.48,70.91
2025-07-01,135.26,71.67
2025-06-30,132.04,70.75
2025-06-27,131.04,70.33
2025-06-26,128.22,69.47
2025-06-25,128.02,69.63
2025-06-24,131.05,70.21
2025-06-23,129.09,69.74
2025-06-20,129.07,68.84
2025-06-18,129.07,69.21
2025-06-17,129.29,69.62
2025-06-16,131.41,70.52
2025-06-13,130.85,71.02
2025-06-12,132.3,72.24
2025-06-11,129.9,72.07
2025-06-10,131.83,72.35
2025-06-09,129.96,71.77
2025-06-06,130.03,71.35
2025-06-05,131.11,70.91
2025-06-04,131.74,71.37
2025-06-03,131.85,71.16
2025-06-02,130.91,72
2025-05-30,131.45,72.1
2025-05-29,131.92,71.49
2025-05-28,130.67,71.15
2025-05-27,131.37,71.78
2025-05-23,129.34,71.77
2025-05-22,130.12,71.14
2025-05-21,130.15,71.85
2025-05-20,131.8,71.69
2025-05-19,131.79,71.93
2025-05-16,131.98,72
2025-05-15,131.5,71.61
2025-05-14,128.45,69.16
2025-05-13,130.31,68.96
2025-05-12,131.68,69.53
2025-05-09,130.44,70.52
2025-05-08,131.43,71.17
2025-05-07,131.915,72.4
2025-05-06,130.74,71.72
2025-05-05,131.99,71.7
2025-05-02,133.75,71.65
2025-05-01,133.55,71.29
2025-04-30,135.58,72.55
2025-04-29,134.31,72.35
2025-04-28,133.76,71.79
2025-04-25,133.38,71.91
2025-04-24,135.31,72.52
2025-04-23,142.26,73.3
2025-04-22,143.46,73.9
2025-04-21,141.73,72.77
2025-04-17,142.84,73
2025-04-16,140.09,71.68
2025-04-15,142.84,71.86
2025-04-14,146.75,72.45
2025-04-11,144.43,71.43
2025-04-10,144.14,70.76
2025-04-09,145.59,69.95
2025-04-08,140.3,68.42
2025-04-07,143.19,68.37
2025-04-04,146.61,69.93
2025-04-03,151.37,73.18
2025-04-02,149.12,71.33
2025-04-01,149.67,71.87
2025-03-31,149.94,71.62
2025-03-28,149.27,70.37
2025-03-27,149.67,70.74
2025-03-26,148.64,70.02
2025-03-25,145.54,68.81
2025-03-24,146.45,68.95
2025-03-21,145.45,68.67
2025-03-20,147.15,69.71
2025-03-19,148.11,69.28
2025-03-18,148.99,69.38
2025-03-17,151.34,70.12
